state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,ameavo,American Avocet,Recurvirostra americana,0.04,0,0,0.01,breeding,05-24,0.07515,19 of 22,Wetlands:  Freshwater Marsh,NA
Washington,amebit,American Bittern,Botaurus lentiginosus,0.06,0.13,0.29,0.07,prebreeding_migration,04-12,0.8516,16 of 26,Wetlands:  Freshwater Marsh,NA
Washington,amecro,American Crow,Corvus brachyrhynchos,1.17,1.54,1.49,1.15,postbreeding_migration,11-01,2.258,27 of 49,Open Country:  Habitat Mosaic,Open Country:  Developed/Disturbed
Washington,amedip,American Dipper,Cinclus mexicanus,7.4,7.4,7.4,7.4,resident,year round resident,NA,4 of 13,Wetlands:  Lakes and Rivers,NA
Washington,amegfi,American Goldfinch,Spinus tristis,1.62,1.59,1.21,1.52,postbreeding_migration,10-18,2.271,19 of 45,Open Country:  Habitat Mosaic,NA
Washington,amekes,American Kestrel,Falco sparverius,0.72,0.68,0.63,0.53,breeding,08-02,0.9849,13 of 44,Open Country:  Habitat Mosaic,NA
Washington,amepip,American Pipit,Anthus rubescens,0.12,0.62,0.08,0.19,prebreeding_migration,04-19,4.273,6 of 9,Tundra:  Alpine,Tundra:  Arctic
Washington,amered,American Redstart,Setophaga ruticilla,0.08,0.01,0,0.03,breeding,06-21,0.09675,31 of 36,Forests:  Temperate Generalist,NA
Washington,amerob,American Robin,Turdus migratorius,2.17,1.91,1.16,2.81,prebreeding_migration,03-22,5.423,5 of 48,Forests:  Temperate Generalist,NA
Washington,amewig,American Wigeon,Mareca americana,0.11,4.9,10.67,3.18,postbreeding_migration,12-06,12.57,10 of 16,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,amtspa,American Tree Sparrow,Spizelloides arborea,0,0.07,0.19,0.05,nonbreeding,01-11,0.2653,NA,Tundra:  Arctic,Forests:  Boreal
Washington,amwpel,American White Pelican,Pelecanus erythrorhynchos,0.99,0.33,0.02,0.34,breeding,08-02,1.203,14 of 32,Wetlands:  Lakes and Rivers,NA
Washington,annhum,Anna's Hummingbird,Calypte anna,4.88,4.14,3.52,4.8,prebreeding_migration,01-18,6.177,3 of 6,Aridlands:  Chaparral,Forests:  Temperate Western
Washington,arcter,Arctic Tern,Sterna paradisaea,0,0.02,0,0,postbreeding_migration,09-20,0.3771,NA,Wetlands:  Tundra,Forests:  Boreal
Washington,astfly,Ash-throated Flycatcher,Myiarchus cinerascens,0.08,0.05,0,0.02,postbreeding_migration,07-26,0.1518,11 of 12,Aridlands:  Desert Scrub,Forests:  Temperate Western
Washington,attwoo1,American Three-toed Woodpecker,Picoides dorsalis,0.63,0.63,0.63,0.63,resident,year round resident,NA,8 of 13,Forests:  Boreal,Forests:  Temperate Western
Washington,baisan,Baird's Sandpiper,Calidris bairdii,0,0.03,0,0,postbreeding_migration,08-23,0.4155,NA,Tundra:  Arctic,NA
Washington,baleag,Bald Eagle,Haliaeetus leucocephalus,1.09,0.68,2.32,1.35,nonbreeding,01-11,2.738,3 of 47,Wetlands:  Generalist,Coasts:  Beach and Estuary
