LOC_ID,LATITUDE,LONGITUDE,SUBNATIONAL1_CODE,ENTRY_TECHNIQUE,SUB_ID,OBS_ID,Month,Day,Year,PROJ_PERIOD_ID,SPECIES_CODE,alt_full_spp_code,HOW_MANY,PLUS_CODE,VALID,REVIEWED,DAY1_AM,DAY1_PM,DAY2_AM,DAY2_PM,EFFORT_HRS_ATLEAST,SNOW_DEP_ATLEAST,Data_Entry_Method
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947463,1,30,2022,PFW_2022,bewwre,NA,1,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947464,1,30,2022,PFW_2022,chbchi,NA,1,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947465,1,30,2022,PFW_2022,yerwar,NA,1,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947466,1,30,2022,PFW_2022,daejun,NA,3,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947467,1,30,2022,PFW_2022,bkcchi,NA,3,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947468,1,30,2022,PFW_2022,bushti,NA,12,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947469,1,30,2022,PFW_2022,varthr,NA,1,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836189,OBS1331947470,1,30,2022,PFW_2022,sonspa,NA,1,NA,1,0,1,1,1,1,1.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912551,1,27,2022,PFW_2022,yerwar,NA,1,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912552,1,27,2022,PFW_2022,chbchi,NA,2,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912553,1,27,2022,PFW_2022,bushti,NA,15,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912554,1,27,2022,PFW_2022,daejun,NA,3,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912555,1,27,2022,PFW_2022,norfli,NA,1,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S101836330,OBS1331912556,1,27,2022,PFW_2022,amecro,NA,2,NA,1,0,1,0,1,0,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761827,2,7,2022,PFW_2022,chbchi,NA,1,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761828,2,7,2022,PFW_2022,bkcchi,NA,2,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761829,2,7,2022,PFW_2022,yerwar,NA,1,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761830,2,7,2022,PFW_2022,daejun,NA,2,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761831,2,7,2022,PFW_2022,bewwre,NA,1,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761832,2,7,2022,PFW_2022,bushti,NA,12,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S102304020,OBS1337761833,2,7,2022,PFW_2022,amecro,NA,1,NA,1,0,1,1,1,1,0.001,0,PFW Web 4.1.5
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879440,11,14,2020,PFW_2021,houfin,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879441,11,14,2020,PFW_2021,houspa,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879442,11,14,2020,PFW_2021,bkcchi,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879443,11,14,2020,PFW_2021,annhum,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879444,11,14,2020,PFW_2021,stejay,NA,2,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879445,11,14,2020,PFW_2021,chbchi,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879446,11,14,2020,PFW_2021,sonspa,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879447,11,14,2020,PFW_2021,daejun,NA,9,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879448,11,14,2020,PFW_2021,amecro,NA,2,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76333365,OBS1012879449,11,14,2020,PFW_2021,norfli,NA,1,NA,1,0,1,1,1,0,1.001,0,PFW Web 4.0.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872141,11,22,2020,PFW_2021,norfli,NA,2,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872142,11,22,2020,PFW_2021,annhum,NA,2,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872143,11,22,2020,PFW_2021,bewwre,NA,1,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872144,11,22,2020,PFW_2021,stejay,NA,1,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872145,11,22,2020,PFW_2021,sonspa,NA,1,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
L10162846,47.5204547,-122.209933,US-WA,/GOOGLE_MAP/ZOOM:15,S76915930,OBS1020872140,11,22,2020,PFW_2021,daejun,NA,4,NA,1,0,1,1,1,0,0.001,0,PFW Web 4.1.4
